 S  3212 44.678  0.00373 0.00047 15.33  2.08 65.490 129.975 109.873 21.892 73302.104
 S  3212 44.755  0.00374 0.00049 15.40  2.15 65.508 129.948 109.864 21.894 73301.741
 S  3212 44.832  0.00375 0.00050 15.45  2.22 65.526 129.919 109.856 21.896 73301.354
 S  3212 44.907  0.00375 0.00051 15.48  2.25 65.543 129.892 109.848 21.898 73300.984
 S  3212 44.982  0.00375 0.00051 15.49  2.26 65.557 129.870 109.841 21.899 73300.699
 S  3212 45.057  0.00375 0.00051 15.49  2.26 65.571 129.850 109.835 21.900 73300.426
 S  3212 45.131  0.00375 0.00052 15.48  2.29 65.584 129.829 109.828 21.902 73300.154
 S  3212 45.205  0.00375 0.00052 15.47  2.30 65.597 129.809 109.822 21.903 73299.882
 S  3212 45.279  0.00374 0.00052 15.45  2.28 65.610 129.787 109.816 21.905 73299.595
 S  3212 45.352  0.00374 0.00051 15.44  2.26 65.624 129.766 109.809 21.906 73299.309
 S  3212 45.425  0.00373 0.00052 15.42  2.28 65.637 129.746 109.803 21.907 73299.041
 S  3212 45.497  0.00373 0.00053 15.39  2.34 65.649 129.728 109.798 21.908 73298.792
 S  3212 45.569  0.00372 0.00054 15.34  2.38 65.660 129.711 109.792 21.910 73298.564
 S  3212 45.641  0.00370 0.00054 15.26  2.38 65.669 129.695 109.788 21.911 73298.357
 S  3212 45.712  0.00368 0.00053 15.15  2.30 65.678 129.682 109.784 21.912 73298.184
 S  3212 45.784  0.00365 0.00050 15.02  2.18 65.685 129.671 109.780 21.912 73298.034
 S  3212 45.855  0.00361 0.00048 14.86  2.10 65.692 129.661 109.777 21.913 73297.894
 S  3212 45.927  0.00357 0.00048 14.68  2.12 65.699 129.651 109.773 21.914 73297.751
 S  3212 46.000  0.00353 0.00050 14.51  2.21 65.706 129.639 109.770 21.914 73297.591
 S  3212 46.073  0.00349 0.00053 14.35  2.30 65.716 129.624 109.765 21.915 73297.395
 S  3212 46.146  0.00346 0.00054 14.23  2.36 65.729 129.604 109.759 21.917 73297.132
 S  3212 46.220  0.00343 0.00053 14.15  2.34 65.744 129.579 109.752 21.918 73296.803
 S  3212 46.294  0.00341 0.00052 14.10  2.28 65.762 129.551 109.743 21.920 73296.420
 S  3212 46.366  0.00340 0.00051 14.08  2.24 65.779 129.523 109.735 21.922 73296.071
 S  3212 46.439  0.00340 0.00051 14.08  2.23 65.796 129.495 109.727 21.924 73295.703
 S  3212 46.510  0.00339 0.00051 14.08  2.23 65.813 129.468 109.719 21.926 73295.335
 S  3212 46.581  0.00339 0.00050 14.06  2.22 65.826 129.447 109.713 21.927 73295.065
 S  3212 46.651  0.00338 0.00050 14.03  2.22 65.838 129.427 109.707 21.929 73294.817
 S  3212 46.720  0.00337 0.00050 13.97  2.21 65.850 129.408 109.701 21.930 73294.555
 S  3212 46.790  0.00335 0.00050 13.89  2.20 65.862 129.389 109.696 21.931 73294.313
 S  3212 46.858  0.00332 0.00050 13.78  2.19 65.872 129.373 109.691 21.932 73294.097
 S  3212 46.927  0.00329 0.00050 13.65  2.19 65.882 129.358 109.686 21.933 73293.900
 S  3212 46.996  0.00326 0.00050 13.51  2.20 65.891 129.343 109.682 21.934 73293.695
 S  3212 47.064  0.00322 0.00050 13.36  2.20 65.901 129.327 109.677 21.935 73293.488
 S  3212 47.133  0.00319 0.00050 13.21  2.18 65.913 129.308 109.672 21.936 73293.252
 S  3212 47.201  0.00315 0.00049 13.05  2.15 65.925 129.288 109.666 21.938 73292.982
 S  3212 47.268  0.00311 0.00048 12.89  2.11 65.935 129.273 109.661 21.939 73292.782
 S  3212 47.336  0.00308 0.00047 12.72  2.08 65.942 129.261 109.657 21.940 73292.671
 S  3212 47.403  0.00304 0.00047 12.56  2.07 65.951 129.246 109.653 21.941 73292.400
 S  3212 47.470  0.00300 0.00047 12.38  2.06 65.964 129.226 109.647 21.942 73292.127
 S  3212 47.537  0.00295 0.00047 12.19  2.04 65.973 129.210 109.642 21.943 73291.958
 S  3212 47.603  0.00291 0.00046 11.98  2.01 65.982 129.197 109.638 21.944 73291.780
 S  3212 47.669  0.00285 0.00045 11.74  1.95 65.988 129.187 109.635 21.945 73291.618
 S  3212 47.735  0.00280 0.00043 11.48  1.86 65.994 129.178 109.632 21.945 73291.516
 S  3212 47.801  0.00273 0.00041 11.21  1.79 66.000 129.169 109.629 21.946 73291.390
 S  3212 47.867  0.00267 0.00040 10.93  1.75 66.007 129.158 109.626 21.946 73291.249
 S  3212 47.934  0.00261 0.00039 10.65  1.72 66.014 129.147 109.623 21.947 73291.093
 S  3212 48.001  0.00254 0.00039 10.38  1.69 66.022 129.133 109.618 21.948 73290.924
 S  3212 48.067  0.00248 0.00038 10.12  1.67 66.031 129.118 109.614 21.949 73290.707
 S  3212 48.134  0.00242 0.00038  9.87  1.64 66.042 129.100 109.609 21.950 73290.489
 S  3212 48.201  0.00236 0.00037  9.63  1.61 66.054 129.082 109.603 21.952 73290.239
 S  3212 48.267  0.00231 0.00036  9.40  1.58 66.065 129.063 109.598 21.953 73289.995
 S  3212 48.333  0.00225 0.00035  9.17  1.54 66.076 129.045 109.593 21.954 73289.762
 S  3212 48.398  0.00219 0.00034  8.93  1.50 66.086 129.029 109.588 21.955 73289.556
 S  3212 48.463  0.00214 0.00033  8.68  1.46 66.095 129.014 109.583 21.956 73289.357
 S  3212 48.528  0.00208 0.00032  8.43  1.42 66.105 128.997 109.579 21.957 73289.146
 S  3212 48.593  0.00202 0.00032  8.17  1.38 66.114 128.984 109.575 21.958 73288.953
 S  3212 48.657  0.00196 0.00031  7.90  1.34 66.122 128.970 109.571 21.959 73288.788
 S  3212 48.721  0.00189 0.00030  7.62  1.30 66.129 128.959 109.567 21.960 73288.635
 S  3212 48.785  0.00183 0.00029  7.33  1.27 66.136 128.947 109.564 21.960 73288.486
 S  3212 48.849  0.00176 0.00029  7.04  1.25 66.144 128.934 109.560 21.961 73288.314
 S  3212 48.913  0.00169 0.00028  6.76  1.23 66.152 128.921 109.556 21.962 73288.138
 S  3212 48.976  0.00163 0.00028  6.47  1.22 66.160 128.908 109.552 21.963 73287.970
 S  3212 49.040  0.00156 0.00028  6.18  1.21 66.168 128.895 109.548 21.964 73287.792
 S  3212 49.103  0.00149 0.00028  5.89  1.20 66.176 128.882 109.544 21.965 73287.621
 S  3212 49.166  0.00143 0.00027  5.60  1.18 66.183 128.870 109.541 21.966 73287.464
 S  3212 49.229  0.00136 0.00026  5.31  1.14 66.190 128.860 109.538 21.966 73287.332
 S  3212 49.291  0.00129 0.00025  5.01  1.09 66.195 128.851 109.535 21.967 73287.214
 S  3212 49.354  0.00122 0.00024  4.71  1.04 66.200 128.843 109.532 21.967 73287.102
 S  3212 49.417  0.00115 0.00023  4.42  1.01 66.206 128.834 109.529 21.968 73286.978
 S  3212 49.480  0.00109 0.00023  4.13  1.01 66.212 128.824 109.526 21.969 73286.857
 S  3212 49.543  0.00102 0.00024  3.85  1.02 66.219 128.812 109.523 21.969 73286.749
 S  3212 49.606  0.00096 0.00024  3.59  1.03 66.229 128.796 109.518 21.971 73286.462
 S  3212 49.669  0.00090 0.00024  3.33  1.03 66.241 128.776 109.512 21.972 73286.227
 S  3212 49.731  0.00084 0.00024  3.08  1.03 66.247 128.766 109.509 21.973 73286.094
 S  3212 49.793  0.00078 0.00024  2.83  1.03 66.254 128.754 109.506 21.973 73285.949
 S  3212 49.856  0.00072 0.00024  2.58  1.02 66.263 128.741 109.502 21.974 73285.762
 S  3212 49.917  0.00066 0.00023  2.34  1.01 66.271 128.726 109.498 21.975 73285.572
 S  3212 49.979  0.00061 0.00023  2.10  0.99 66.277 128.717 109.495 21.976 73285.443
 S  3212 50.040  0.00055 0.00023  1.87  0.99 66.284 128.705 109.491 21.977 73285.296
 S  3212 50.101  0.00050 0.00023  1.64  0.98 66.291 128.695 109.488 21.977 73285.153
 S  3212 50.162  0.00045 0.00023  1.42  0.98 66.296 128.686 109.485 21.978 73285.039
 S  3212 50.223  0.00040 0.00023  1.20  0.98 66.300 128.679 109.483 21.978 73284.943
 S  3212 50.284  0.00035 0.00023  0.99  0.98 66.306 128.670 109.480 21.979 73284.819
 S  3212 50.345  0.00030 0.00023  0.79  0.97 66.313 128.659 109.477 21.980 73284.677
 S  3212 50.405  0.00025 0.00023  0.60  0.97 66.319 128.648 109.474 21.980 73284.534
 S  3212 50.466  0.00021 0.00023  0.42  0.97 66.326 128.638 109.471 21.981 73284.397
 S  3212 50.527  0.00017 0.00023  0.25  0.96 66.332 128.627 109.468 21.982 73284.255
 S  3212 50.588  0.00013 0.00023  0.09  0.96 66.340 128.615 109.464 21.983 73284.101
 S  3212 50.648  0.00009 0.00022 -0.06  0.96 66.346 128.604 109.461 21.983 73283.931
 S  3212 50.708  0.00006 0.00022 -0.21  0.96 66.352 128.594 109.458 21.984 73283.812
 S  3212 50.768  0.00003 0.00022 -0.34  0.96 66.358 128.585 109.455 21.985 73283.705
 S  3212 50.828  0.00000 0.00022 -0.47  0.95 66.363 128.576 109.452 21.985 73283.588
 S  3212 50.888 -0.00003 0.00022 -0.59  0.95 66.370 128.566 109.449 21.986 73283.430
 S  3212 50.948 -0.00006 0.00022 -0.69  0.95 66.376 128.555 109.446 21.987 73283.297
 S  3212 51.007 -0.00008 0.00022 -0.79  0.94 66.382 128.545 109.443 21.987 73283.164
 S  3212 51.067 -0.00010 0.00022 -0.88  0.94 66.388 128.535 109.440 21.988 73283.040
 S  3212 51.126 -0.00012 0.00022 -0.96  0.94 66.393 128.527 109.437 21.989 73282.926
 S  3212 51.185 -0.00014 0.00022 -1.03  0.93 66.398 128.519 109.435 21.989 73282.824
 S  3212 51.244 -0.00016 0.00022 -1.09  0.93 66.403 128.511 109.432 21.990 73282.716
 S  3212 51.303 -0.00017 0.00022 -1.14  0.92 66.408 128.502 109.430 21.990 73282.597
 S  3212 51.362 -0.00018 0.00022 -1.18  0.92 66.414 128.492 109.427 21.991 73282.464
 S  3212 51.421 -0.00019 0.00022 -1.22  0.91 66.419 128.485 109.424 21.991 73282.364
 S  3212 51.480 -0.00020 0.00021 -1.24  0.90 66.424 128.477 109.422 21.992 73282.253
 S  3212 51.539 -0.00020 0.00021 -1.26  0.90 66.430 128.468 109.419 21.992 73282.134
 S  3212 51.597 -0.00021 0.00021 -1.27  0.90 66.435 128.460 109.417 21.993 73282.024
 S  3212 51.656 -0.00021 0.00021 -1.27  0.90 66.439 128.452 109.414 21.993 73281.922
 S  3212 51.714 -0.00021 0.00021 -1.26  0.90 66.444 128.445 109.412 21.994 73281.825
 S  3212 51.773 -0.00020 0.00021 -1.25  0.90 66.450 128.435 109.409 21.995 73281.696
 S  3212 51.831 -0.00020 0.00021 -1.23  0.89 66.455 128.426 109.406 21.995 73281.578
 S  3212 51.890 -0.00020 0.00021 -1.21  0.89 66.460 128.418 109.404 21.996 73281.462
 S  3212 51.948 -0.00019 0.00021 -1.18  0.89 66.466 128.408 109.401 21.996 73281.339
 S  3212 52.006 -0.00018 0.00021 -1.14  0.89 66.470 128.401 109.399 21.997 73281.243
 S  3212 52.064 -0.00017 0.00021 -1.10  0.88 66.475 128.395 109.397 21.997 73281.149
 S  3212 52.121 -0.00016 0.00021 -1.06  0.88 66.479 128.387 109.394 21.998 73281.052
 S  3212 52.179 -0.00015 0.00021 -1.01  0.87 66.483 128.380 109.392 21.998 73280.955
